description,details,money,pub_name
2000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.30
/word",vice sports
4973 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.12
/word",vice sports
1500 word,,"$0.25
/word",vice sports
4500 word profile or interview,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.18
/word",vice sports
2200 word profile or interview,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.23
/word",vice sports
"2200 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.18
/word",vice sports
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.27
/word",vice sports
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",vice sports
~1500 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",vice sports canada
~750 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",vicemotherboard
700 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.24
/word",vicecom munchies
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",vicecom munchies
700 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.24
/word",vicecom munchies
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",vicecom munchies
1800 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$1.00
/word",victory journal
2000 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",village voice
"900 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",village voice
1000 word,,"$0.40
/word",village voice
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.40
/word",village voice
"800 word criticism, review, or arts/entertainment coverage",Medium reporting; Referral (you had a connection who connected you to the editor),"$1.00
/word",village voice
blog post,,"$50
flat",village voice
"1050 word criticism, review, or arts/entertainment converage",,"$0.50
/word",village voice
blog post,,"$75
flat",village voice
blog post,,"$75
flat",village voice
6500 word,,"$0.42
/word",virginia quarterly review
blog post,,"$200
flat",virginia quarterly review
6000 word feature,,"$0.17
/word",virginia quarterly review
~1500 word blog post,,"$0.07
/word",virginia quarterly review
~8000 word feature,,"$0.31
/word",virginia quarterly review
,,"$125
flat",vitamin w
,,"$125
flat",vitamin w
1500 word,Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",vocally
3000 word,,"$3.00
/word",vogue
719 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.28
/word",vogue
1000 word,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",vogue
"1000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",vogue
~375 word fob,Medium reporting; Assignment (editor came to you),"$2.00
/word",vogue
1000 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",voguecom
"1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.33
/word",vox
"1300 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.19
/word",vox
"1200 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.42
/word",vox
1500 word,,"$1.00
/word",vox
1700 word news story,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.15
/word",vox
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",vox first person
1000 word,,"$0.25
/word",vulture
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Assignment (editor came to you),"$0.15
/word",vulture
"~750 word criticism, review, or arts/entertainment converage",Medium reporting; Assignment (editor came to you),"$0.40
/word",vulture
profile or interview,,"$150
flat",vulture
blog post,,"$50
flat",vulture
feature,,"$150
flat",vulture
869 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.16
/word",vulture magazine
profile or interview,,"$100
flat",wags revue
"opinion, editorial, column or essay",,"$100
flat",wags revue
news story,,"$100
flat",wags revue
1450 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",waging nonviolence
,,"$75
flat",waging nonviolence
,,"$75
flat",waging nonviolence
,,"$75
flat",waging nonviolence
"~750 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",waiter magazine
1000 word profile or interview,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.50
/word",wall street journal
"800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",wall street journal
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.07
/word",wall street journal
,,,wall street journal
"800 word opinion, editorial, column or essay",,"$0.50
/word",wall street journal
"~1100 word criticism, review, or arts/entertainment converage",,"$0.55
/word",wall street journal
~3000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",warscapes
"~750 word criticism, review, or arts/entertainment converage",Medium reporting; Assignment (editor came to you),,washington blade
1800 word profile or interview,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.11
/word",washington city paper
"600 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",washington city paper
~3000 word fiction,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.03
/word",washington city paper
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",washington post
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.30
/word",washington post
750 word news story,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.33
/word",washington post
"1000 word opinion, editorial, column or essay",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",washington post
"550 word opinion, editorial, column or essay",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.73
/word",washington post
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",washington post
902 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.28
/word",washington post
1888 word news story,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.19
/word",washington post
1000 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",washington post
800 word,,"$0.00
/word",washington post
"800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.19
/word",washington post
~1500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.37
/word",washington post
"~375 word criticism, review, or arts/entertainment converage",Ongoing/pre existing relationship with editor or publication,"$0.33
/word",washington post
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",washington post
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.20
/word",washington post
"~750 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.33
/word",washington post
~3000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",washington post
"criticism, review, or arts/entertainment converage",,"$250
flat",washington post
"1200 word opinion, editorial, column or essay",,"$0.42
/word",washington post
,,"$250
flat",washington post
600 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",washington post express
~750 word profile or interview,Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.20
/word",washington post express
600 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",washington post express
~750 word profile or interview,Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.20
/word",washington post express
300 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",washington post magazine
1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.50
/word",washington post magazine
"850 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.24
/word",washington post soloish
